HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude,name,,,,
N/A,,Minersville,Wisconsin,Canada,P0V 1E0,,53.8683074969769,-90.8060766483497,,,,,
0,,Cordova,AK,United States,99674-8131,Valdez-Cordova,61.8954700617939,-146.491018613785,,,,,
N/A,,Hazel,Minnesota,Canada,X0C 0A0,,64.5640280563061,-96.1157190002133,,,,,
N/A,,Vuoggatjålme,Norrbotten,Sweden,820 11,,66.5237572326852,16.3552483623393,,,,,
N/A,,City of Mobridge,South Dakota,Canada,R0K 1T0,,55.8813165803668,-100.42862704389,,,,,
N/A,,Tatarskoye,Krasnoyarsk,Russia,652287,,69.7879610384482,87.7773795780516,Ozero Pyasino,,,,
N/A,,Hornbeck,Alberta,Canada,X0B 0E0,,68.2603584006985,-116.69006797385,,,,,
0,7600 W Rd,Portage,UT,United States,84307-9745,Weber,41.4980966004591,-112.228395644056,,,,,
N/A,,Silverdale,Minnesota,Canada,P9A 1G6,,48.6451104251525,-93.1151148559654,Rainy Lake,,,,
N/A,,Colville Lake,Northwest Territories,Canada,X0E 1L0,,68.6358198448549,-126.099842592281,,,,,
N/A,,Jurvala,Southern Finland,Finland,54950,,61.0064903978563,27.7601802593485,,,,,
N/A,,Norway House,Manitoba,Canada,R8N 1N6,,65.611228438577,-97.8403702649341,,,,,
N/A,,Slavgorodka,Omsk,Kazakhstan,151214,,53.8507928314125,72.9384376932763,Ozero Teke,,,,
0,,Idahome,ID,United States,83350-8452,Minidoka,42.6720207394603,-113.39415226567,Lake Walcott,,,,
1847,Sunset Cir,Van Alstyne,OK,United States,73439-5226,Bryan,33.9295533457132,-96.5800952880771,Lake Texoma,,,,
N/A,,Ardmore,Alberta,Canada,T0B 1G0,,64.5404789261355,-110.48300624036,,,,,
N/A,,Sachs Harbour,Northwest Territories,Canada,V0L 1C0,,68.2800807972163,-125.296164058373,,,,,
N/A,,Igenche,Tatarstan,Russia,423371,,55.8635075506753,52.6476422763048,Nizhnekamsk Reservoir,,,,
N/A,,Woss,British Columbia,Canada,V0N 3P0,,68.1274529972985,-126.600655364087,,,,,
N/A,,Bandera,Washington,Canada,V0K 1T1,,63.9673519706102,-121.536678987146,Keller Lake,,,,
N/A,,Jenson Trailer Park,Minnesota,Canada,R0B 1P0,,56.1783299846426,-96.1720279233439,Split Lake,,,,
N/A,,Phillips Arm,British Columbia,Canada,V9H 1P1,,65.5064348093181,-125.365292610639,,,,,
N/A,,South Dover,Maine,Canada,G0L 3K0,,56.3546540967945,-69.1443339498371,,,,,
N/A,,Bunyonyi,Kabale,Uganda,,,-1.27919271844218,29.9243223985814,Lake Bunyonyi,,,,
N/A,,Grand Rapids,Manitoba,Canada,X0C 0A0,,65.531897306315,-99.3030526828642,,,,,
N/A,,Qaryat al ‘Ankūr,Al-Anbar,Iraq,,,33.3131548634995,43.4408548334409,Lake Habbaniyah,,,,
N/A,,Big Farm,Nova Scotia,Canada,B2C 1K9,,52.4653680670673,-60.8201214901317,,,,,
N/A,,Therien,Alberta,Canada,T9H 0C2,,63.9580795006055,-111.277300007726,,,,,
N/A,,Vernon,British Columbia,Canada,V9N 1P9,,65.4706695678716,-126.35608370459,,,,,
N/A,,Niedźwiedzi Róg,Warmian-Masurian,Poland,11-730,,53.7404062837382,21.6836198042245,,,,,
N/A,,Pestovo,Tomsk,Russia,632241,,61.127621236171,76.7483740535811,Ozero Samotlor,,,,
N/A,,Lac-Bachelor,Quebec,Canada,K0A 3M0,,48.5799087709929,-76.1107067793717,,,,,
0,Beach Ln,Dune Acres,WI,United States,54241-3811,Lake Michigan,43.8784721145094,-87.0887237694855,Lake Michigan,,,,
N/A,,Usk,British Columbia,Canada,V8G 0A7,,66.9120235163718,-128.388870234084,,,,,
N/A,,Uitvlugt,Essequibo Islands-West Demerara,Canada,G0G 2P0,,52.4571258715077,-58.3127118337553,,,,,
N/A,,New Rockport Colony,Montana,Canada,T9C 1S7,,64.7634597524378,-112.022213218278,,,,,
0,USFS Rd 23,Vernal,UT,United States,84046-3101,Daggett,41.1207217894764,-109.523625613135,Flaming Gorge Reservoir,,,,
N/A,,Salmo,British Columbia,Canada,X0E 1P0,,63.8855187432676,-117.270519828156,,,,,
N/A,,City of Coffman Cove,Alaska,Canada,X0E 0T0,,67.9902793140552,-132.842997463833,,,,,
N/A,,Armstrong Station,Ontario,Canada,X0C 0H0,,66.5545182839704,-89.0307736320555,,,,,
0,,Oylen,MN,United States,56650-3118,Beltrami,48.1292372923543,-94.7991182225219,Upper Red Lake,,,,
N/A,,Entrance Island,Alaska,Canada,Y0B 1K0,,68.2148791430566,-133.479692316155,,,,,
N/A,,Gagan-Tagwaye,Kebbi,Nigeria,241102,,10.2542881467038,4.56548311970259,Kainji Reservoir,,,,
N/A,,Huronian,Ontario,Canada,X0C 0B0,,51.0555110801702,-90.7299322566061,Lake St. Joseph,,,,
N/A,,Glacier,British Columbia,Canada,T0H 0P0,,60.5567020115991,-117.520375162196,Tathlina Lake,,,,
N/A,,Shilo,Manitoba,Canada,R0K 2A0,,65.2528401137942,-99.6417450688573,,,,,
403,Co Rd 6421,Tabernash,CO,United States,80447-8710,Grand,40.175371395193,-105.845154253758,Lake Granby,,,,
N/A,,Deschambault Lake,Saskatchewan,Canada,S0P 0C0,,66.4323571712108,-103.368325824542,,,,,
N/A,,Karankamäki,Eastern Finland,Finland,47850,,61.3932848609073,26.6321785579122,,,,,
N/A,,Bunyan,Ontario,Canada,N7S 1N8,,44.6859129152316,-82.2883254798575,Lake Huron,,,,
N/A,,Dorion,Ontario,Canada,P0T 1K0,,66.6668181984712,-88.5384781804372,,,,,
N/A,,Flanders,Michigan,Canada,P0L 1R0,,48.3841566264503,-83.7536717250912,,,,,
N/A,,Quathiaski Cove,British Columbia,Canada,V0C 2X0,,67.0153453249951,-125.230048248693,,,,,
N/A,,Island Falls,Saskatchewan,Canada,X0B 2A0,,65.094913759588,-102.353130360152,,,,,
N/A,,Gatow,Berlin,Germany,14089,,52.4693419827836,13.185337707099,,,,,
N/A,,Korsträsk,Norrbotten,Sweden,861 39,,66.3190269822651,17.3658644215554,Hornavan,,,,
N/A,,Choiceland,Saskatchewan,Canada,S0J 0M0,,60.0740920251667,-104.482420172198,Selwyn Lake,,,,
N/A,,Carberry,Manitoba,Canada,R0K 0H0,,65.9612273857365,-99.3610595046512,Garry Lake,,,,
N/A,,Fenwood,Saskatchewan,Canada,S0A 0Y0,,65.0146995349447,-103.045388890853,,,,,
N/A,,Nianziwan,Hubei,China,430418,,30.6912535831377,114.707422444165,,,,,
N/A,,Unezhma,Arkhangel'sk,Russia,162827,,66.7855941237688,36.7997172325661,,,,,
N/A,,Ferland,Saskatchewan,Canada,S0K 2L0,,55.8713082000443,-106.957810573867,,,,,
N/A,,Levering,Michigan,Canada,P0M 1Z0,,46.7139345691052,-84.7869471602486,Whitefish Bay,,,,
0,Okstukuk Lake Trl,Manokotak,AK,United States,99555-0196,Dillingham,60.0456858868985,-159.022462330159,,,,,
N/A,,Pine Falls,Manitoba,Canada,R0E 1M0,,63.6289804064723,-96.2206326473716,,,,,
N/A,,Beadle,Saskatchewan,Canada,X0E 1W0,,65.4178312070515,-109.000460041975,,,,,
N/A,,Vanguard,Saskatchewan,Canada,S0N 2V0,,54.7668539950463,-107.29363218209,,,,,
100,Welch Island,Wonalancet,NH,United States,03249-7700,Belknap,43.6107479408832,-71.356710629771,Lake Winnipesaukee,,,,
N/A,,Town of Fort Peck,Montana,Canada,S0J 2B0,,55.6954256340831,-106.464768733217,,,,,
0,Happy Creek Trl,Chignik,AK,United States,99555-0196,Dillingham,59.6700772606785,-158.76921660798,,,,,
0,,Snowville,ID,United States,83210-1742,Power,42.9404808234043,-112.717428411236,American Falls Reservoir,,,,
N/A,,Waugh,Manitoba,Canada,X0C 0E0,,61.6183262360995,-95.1920207774431,,,,,
N/A,,Marcelin,Saskatchewan,Canada,S0J 1X0,,64.3308916676178,-106.783992101462,,,,,
N/A,,Sedibeng District Municipality,Gauteng,South Africa,B-1437,,-26.9983752341904,28.1856733749365,Vaal Dam,,,,
N/A,,Passes-Dangereuses,Quebec,Canada,G7S 4G9,,64.9965961411261,-71.1648501586917,Amadjuak Lake,,,,
N/A,,Conrath,Wisconsin,Canada,P0V 2S0,,49.9046945251489,-91.031266967093,,,,,
N/A,,Ross River,Yukon,Canada,Y0B 1S0,,60.0287599495884,-132.44711553493,Teslin Lake,,,,
N/A,,Trancura,Araucania,Argentina,Q8347XAH,,-40.9373997462564,-71.551841924757,Lago Nahuel Huapí,,,,
0,Happy Creek Trl,Aleknagik,AK,United States,99555-0196,Dillingham,59.376007497674,-158.85651057129,,,,,
N/A,,Broadview,Saskatchewan,Canada,S0G 0K0,,62.5729491003875,-102.583179298982,,,,,
N/A,,Marqua,Northern Territory,Australia,5733,,-28.4838838017604,137.298600313602,Lake Eyre North,,,,
N/A,,La Colorada,Chihuahua,Mexico,33645,,27.5425876972738,-105.441287664631,Presa de la Boquilla,,,,
N/A,,Vozritsy,Karelia,Russia,186346,,68.5186629222565,35.3951982251217,Serebryanskoe Reservoir,,,,
N/A,,Rybitwy,Warmian-Masurian,Poland,12-200,,53.6699060752901,21.918651282228,,,,,
N/A,,Murphy Beach,Ontario,Canada,L3V 6H7,,44.4976670559309,-79.3183690854238,Lake Simcoe,,,,
N/A,,Ruvozero,Karelia,Russia,187332,,66.1674294567923,30.7884090196577,Pjrvi,,,,
N/A,,Deschambault Lake,Saskatchewan,Canada,S0P 0C0,,61.53001699796,-103.372343680271,,,,,
N/A,,Savant Lake,Ontario,Canada,P0V 2S0,,50.0920572920682,-90.7009676815197,Sturgeon Lake,,,,
0,,Aleknagik,AK,United States,99555-0196,Dillingham,60.3635991442007,-158.867789236062,,,,,
N/A,,Gjoa Haven,Nunavut,Canada,X0B 1J0,,62.9033728330928,-95.8865302550896,,,,,
N/A,,Vieux-Poste,Quebec,Canada,A0P 1K0,,53.0585117832376,-58.9509961162197,,,,,
N/A,,Kedrovyy,Irkutsk,Russia,665523,,72.353933134655,99.1301778512855,,,,,
N/A,,La Conception-Station,Quebec,Canada,J8E 1A2,,60.597765807334,-74.6755482097239,,,,,
N/A,,Moose Range,Saskatchewan,Canada,S0A 4M0,,58.6290585250774,-103.6907397152,,,,,
N/A,,South Dover,Maine,Canada,G0L 3K0,,56.3546540967945,-69.1443339498371,,,,,
N/A,,Armstrong Station,Ontario,Canada,X0C 0H0,,66.5545182839704,-89.0307736320555,,,,,
N/A,,Dorion,Ontario,Canada,P0T 1K0,,66.6668181984712,-88.5384781804372,,,,,
0,Okstukuk Lake Trl,Chignik,AK,United States,99555-0196,Dillingham,59.7878229115312,-158.734099176453,,,,,
N/A,,Bergland,Ontario,Canada,P0X 1M0,,54.6295331297394,-94.3827852892797,Gods Lake,,,,
N/A,,Crucecitas,Michoacan,Mexico,40865,,18.5815549391315,-101.824344231992,Presa del Infiernillo,,,,
N/A,,Løvøya,Sør-Trøndelag,Norway,2100,,62.6538992353487,11.6782452146611,Aursund,,,,
N/A,,English River,Ontario,Canada,P0V 2S0,,49.7912171541397,-90.9658154822214,,,,,
N/A,,Laojunmiao,Henan,China,463344,,33.0104013587446,114.251497482218,,,,,
N/A,,Buffalo,Maine,Canada,G5M 1K9,,56.2460337338829,-68.4902711089737,,,,,
N/A,,Shell Valley,North Dakota,Canada,R0B 1A0,,63.9969355653869,-99.8716352469424,,,,,
1,Toklak Dr,Lake Minchumina,AK,United States,99757-9998,Denali,63.8946440312087,-152.192574983073,Lake Minchumina,,,,
N/A,,‘Abd al Ḩamīd Faza‘,Sala ad-Din,Iraq,,,34.0241914125861,43.2224941954673,Buhayrat ath Tharthar,,,,
N/A,,Daily,North Dakota,Canada,R0H 0Z0,,62.6973179441006,-97.9757315424465,Yathkyed Lake,,,,
N/A,,Clover Pass,Alaska,Canada,V0T 1T0,,67.6976813716863,-131.785881098868,Travaillant Lake,,,,
N/A,,Fitzpatrick,Quebec,Canada,G9X 3N7,,55.1087579287097,-72.7708594574054,Lake Bienville,,,,
N/A,,Wawina,Minnesota,Canada,X0B 1B0,,69.252071145005,-93.123181659566,,,,,
N/A,,Rāwatbhāta,Rajasthan,India,323305,,24.8297279016284,75.5995713604421,,,,,
N/A,,Grassy Narrows,Ontario,Canada,P0V 2L0,,50.3022332788403,-93.9948041972592,,,,,
N/A,,Perevizskiye Khutora,Dnipropetrovs'k,Ukraine,53301,,47.342843526722,34.0675356175121,Kakhovka Reservoir,,,,
N/A,,Letniye-Kiyevskiye,Tomsk,Russia,658991,,61.2262332187601,79.3493212577373,Ozero Tormemtor,,,,
N/A,,Al Madīnah as Siyāḩīyah fī al Ḩabānīyah,Al-Anbar,Iraq,,,32.8102337522951,43.5720026213699,Lake Razazah,,,,
N/A,,Porcupine Plain,Saskatchewan,Canada,S0J 2L0,,55.2449013375081,-103.2448406642,,,,,
N/A,,Paloniemi,Eastern Finland,Finland,83320,,62.7217501666525,29.3018446991339,,,,,
N/A,,Bienfait,Saskatchewan,Canada,X0B 2A0,,66.5577562893689,-102.820797613811,,,,,
N/A,,Chapatenco,Chiapas,Mexico,30206,,16.1228785672643,-92.5488919361839,Presa de la Angostura,,,,
N/A,,Hatley Centre,Quebec,Canada,J0M 1K0,,55.9793398347016,-71.947800204052,,,,,
N/A,,Beaufield,Saskatchewan,Canada,X0E 1A0,,61.8574970893939,-109.109219153342,Nonacho Lake,,,,
N/A,,Rollins,Minnesota,Canada,P8T 1J9,,50.0158169831411,-91.8542524289945,Minnitaki Lake,,,,
N/A,,Spy Hill,Saskatchewan,Canada,S0A 3L0,,58.7130994833735,-101.687682799391,,,,,
N/A,,Diemitz,Mecklenburg-Vorpommern,Germany,16837,,53.2226197841136,12.8343044851615,,,,,
N/A,,New Portland,Maine,Canada,G5A 1Z2,,51.712237447801,-70.101297558285,Lake Pltipi,,,,
5988,Rainbow Island Dr,Rosholt,SD,United States,57260-7107,Traverse,45.7086810749506,-96.7314361894156,Lake Traverse,,,,
N/A,,Val-Viger,Quebec,Canada,K4K 1W1,,58.2225416655085,-75.219152253871,Lac Chavigny,,,,
N/A,,Markovshchina,Karelia,Russia,187661,,66.8432894926866,35.1743705440652,,,,,
N/A,,Marwayne,Alberta,Canada,T0B 2X0,,65.4326965954716,-110.336348284853,Contwoyto Lake,,,,
N/A,,Island Falls,Saskatchewan,Canada,S0A 0E0,,58.8370267808959,-102.347052827372,,,,,
N/A,,Headingley,Manitoba,Canada,R4H 1H3,,61.4539238710964,-97.4151913867372,,,,,
N/A,,Domaine-Air-Pur,Quebec,Canada,J0T 2C0,,56.7095100520517,-74.2052465586603,,,,,
N/A,,Skora,Hedmark,Sweden,466 93,,60.9858849089571,12.5196989763924,,,,,
N/A,,Temir,Omsk,Kazakhstan,081114,,53.4338260453305,73.7742589166004,Qyzylqaq Kli,,,,
0,,Three Forks,MT,United States,59644-9781,Broadwater,46.5080268621766,-111.545443272474,Canyon Ferry Lake,,,,
N/A,,Paddockwood,Saskatchewan,Canada,S0J 1B0,,61.5834440870344,-105.563149195099,,,,,
N/A,,Woodley,Saskatchewan,Canada,S0J 3C0,,58.8333472293067,-102.898098231197,,,,,
N/A,,El Salitre,Chalatenango,El Salvador,,,14.0089025882682,-89.0315185686819,,,,,
N/A,,Janji Matogu,Sumatera Utara,Indonesia,21171,,2.61583341176407,98.9021745242572,Danau Toba,,,,
N/A,,Åmot,Ãstfold,Norway,1816,,59.3957298941918,11.1570994957017,,,,,
0,Kilroy Beach,Pine Ridge,ID,United States,83860-9079,Bonner,48.1365963955326,-116.377547412356,Lake Pend Oreille,,,,
N/A,,Francês,Para,Canada,A0K 2W0,,48.2718567119496,-56.5792059590126,,,,,
N/A,,City of Inkster,North Dakota,Canada,R0C 0K0,,63.9293789982102,-97.650208441895,,,,,
N/A,,Hiawatha Park,Ontario,Canada,J9L 0B5,,58.646131644451,-75.5464217684118,,,,,
N/A,,Comertown,Montana,Canada,S0J 2R0,,61.419483268222,-104.24052512708,,,,,
N/A,,Campamento Número Uno,Chalatenango,El Salvador,,,13.9925653792124,-88.7723639309152,,,,,
0,,Hansen,WI,United States,54646-6805,Juneau,44.0596532347589,-90.0109436649854,Petenwell Lake,,,,
N/A,,Świdry,Warmian-Masurian,Poland,11-500,,53.9922347944993,21.7856354922804,,,,,
N/A,,Saint-Aimé-des-Lacs,Quebec,Canada,G0T 1S0,,53.850645649349,-70.2967587948276,,,,,
N/A,,Tabanbükü,Elazığ,Turkey,23800,,38.5183957235688,38.4160733479322,Saksak Dagi,,,,
N/A,,Macdonald,Manitoba,Canada,R0H 0S0,,63.9629365087032,-98.4690026528311,,,,,
N/A,,West Side Trailer Court,Minnesota,Canada,R0B 0S0,,55.5124783290708,-95.7785820696255,,,,,
N/A,,Kandalaksha,Murmansk,Russia,184370,,67.4470303174337,32.4083169525651,,,,,
N/A,,Lac-Lasalle,Quebec,Canada,J5M 2M7,,60.0342056859404,-73.7030465677999,,,,,
N/A,,Yaocun,Shandong,China,277525,,34.619837223837,117.234642162683,Weishan Hu,,,,
N/A,,Al Jiftlik,West Bank,Israel,86983,,31.5353427176878,35.4778479489184,Dead Sea,,,,
0,,Wilsall,WY,United States,83013-0634,Teton,43.9485307767667,-110.665858423631,Jackson Lake,,,,
N/A,,Paradijs,Nickerie,Canada,A0K 4A0,,48.6978016039091,-56.9037156146459,,,,,
N/A,,Norway House,Manitoba,Canada,R8N 1N6,,57.0336049560237,-97.8251901662305,,,,,
4990,Point Lookout Point Rd,Alabaster,MI,United States,48703-9654,Lake Hurron,43.9878283877388,-83.5551217671337,Saginaw Bay,,,,
N/A,,Cherry Grove,Alberta,Canada,T0C 1A0,,54.5397520709642,-110.068695076104,,,,,
4753,W Lake Rd,Prattsburgh,NY,United States,14424-8902,Ontario,42.7941818522199,-77.3054262217486,Canandaigua Lake,,,,
0,Winter Trl,Scammon Bay,AK,United States,99778-0580,Nome,65.1311205472252,-165.689140523957,,,,,
N/A,,Páhara,Atlantico Norte,Nicaragua,70011,,14.3000287100014,-83.2908925675505,,,,,
N/A,,Vershina,Khanty-Mansiy,Russia,627039,,65.7676829721475,66.094096613973,Ozero Pitlyarskiy Sor,,,,
N/A,,Englefeld,Saskatchewan,Canada,S4P 3G7,,54.9158022433749,-104.647926773283,,,,,
N/A,,Nyamboyto,Yamal-Nenets,Russia,658946,,64.1402908953,80.366594933326,Ozero Chrtovo,,,,
N/A,,City of Starkweather,North Dakota,Canada,R0H 0L0,,63.7595308968552,-98.87338037025,,,,,
0,,Mountain Village,AK,United States,99690-9998,Wade Hampton,61.1476379968159,-163.853033257253,,,,,
N/A,,South Dawson,British Columbia,Canada,V1G 0B6,,65.92752269318,-120.35408144591,Great Bear Lake,,,,
N/A,,Wendgräben,Brandenburg,Germany,14798,,52.3901580325852,12.4654723290577,,,,,
N/A,,Yenikuşak,Adiyaman,Turkey,02450,,37.6582637440901,38.8053434023359,Ataturk Barajt,,,,
N/A,,Kedrovyy,Irkutsk,Russia,665523,,72.3501064010023,99.1228846377519,,,,,
N/A,,Spruce Grove,Alberta,Canada,T7X 3S4,,61.8168748398498,-113.92767269397,Great Slave Lake,,,,
N/A,,Macdonald,Manitoba,Canada,R0H 0S0,,51.6785327552444,-98.4622900897018,,,,,
75,Nepaitneq Rd,Tuntutuliak,AK,United States,99609-9800,Bethel,60.8030847860083,-162.632145596635,,,,,
N/A,,La Playa,Sonora,Mexico,84583,,30.5046267265363,-109.35321944811,,,,,
N/A,,Galata,Montana,Canada,T9H 5N2,,62.6693533520231,-111.352894956243,McLeod Bay,,,,
N/A,,Stanton,North Dakota,Canada,R0B 2E0,,60.973374433554,-101.38983879088,,,,,
N/A,,L'Anse-à-Valleau,Quebec,Canada,G4X 4G2,,52.692617173213,-64.5569225253301,,,,,
N/A,,West Forks,Maine,Canada,G5A 2G2,,53.5924883098545,-70.0458022511887,,,,,
0,Star Island SE,Cushing,MN,United States,56633-3503,Hubbard,47.4251183002553,-94.5743510189758,Cass Lake,,,,
0,Snake Lake Rd,Aleknagik,AK,United States,99555-0196,Dillingham,59.2472231920539,-158.911528315447,,,,,
N/A,,Grind Stone City,Michigan,Canada,N8P 1A5,,46.0432259054357,-82.9010061337409,North Channel,,,,
N/A,,Galitskoye,Poltava,Ukraine,37130,,49.2875601326174,32.7264449852858,Kremenchuk Reservoir,,,,
N/A,,Ochre River,Manitoba,Canada,R0C 0V0,,51.2920326563205,-99.7865928057203,,,,,
N/A,,Fosterville,New Brunswick,Canada,E7E 2N8,,51.8582420548583,-67.7659656419054,,,,,
N/A,,Dallas,Manitoba,Canada,R0C 0S0,,52.4006079590984,-97.4814590690484,Lake Winnipeg,,,,
0,,Kwigillingok,AK,United States,99736-0078,Nome,65.6165269928654,-163.21672213445,,,,,
N/A,,Gan,Akershus,Norway,1903,,59.8026882999513,11.2093581744568,Yeren,,,,
N/A,,Bengtsbo,Dalarna,Sweden,733 63,,60.1415014102799,16.3493351459753,,,,,
N/A,,Zapote,Sinaloa,Mexico,85775,,26.6203448869703,-108.527929162091,Presa Miguel Hidalgo,,,,
0,Okstukuk Lake Trl,Chignik,AK,United States,99555-0196,Dillingham,59.960761836221,-158.720828502172,,,,,
N/A,,Saindao,Nusa Tenggara Timur,Australia,6762,,-23.4791049122677,122.772522490751,Lake Disappointment,,,,
N/A,,Ferma Nomer Dva Sovkhoza Seletinskiy,Pavlodar,Kazakhstan,021019,,52.8668807364749,74.107838215804,Zhalauly Kli,,,,
N/A,,Kuroki,North Dakota,Canada,R0B 2E0,,59.5855947561917,-101.138890128492,,,,,
N/A,,Sumskaya,Karelia,Russia,174442,,67.0506690202509,34.1148956428775,,,,,
614,Broussard Rd,Oberlin,LA,United States,70549-6510,Jefferson Davis,29.8957345295644,-92.7649191404042,,,,,
N/A,,Ladoga,North Dakota,Canada,R0J 1A0,,52.0909368973558,-99.5610664760425,,,,,
N/A,,Sylvanite,Montana,Canada,V0B 1L0,,50.2430660892868,-115.868594421513,,,,,
0,,Paauhau,AK,United States,99613-0635,Lake and Peninsula,59.0033425127253,-155.412247159859,,,,,
0,,Manokotak,AK,United States,99555-0196,Dillingham,60.2326071076271,-159.001380251721,,,,,
N/A,,Māij Char,Dhaka,Bangladesh,3403,,24.1635818819294,90.9851666529198,,,,,
N/A,,Shaolaowobu,Jilin,China,131312,,45.2619835120282,124.27184082249,Qagan Nur,,,,
0,,Kipnuk,AK,United States,99690-9998,Bethel,60.9617470505323,-163.987458312529,,,,,
N/A,,Les Buissons,Quebec,Canada,G5N 5K5,,51.3444294709499,-68.3750039850393,Réservoir Manicouagan,,,,
N/A,,Ol’khovatka,Poltava,Ukraine,51630,,48.7632976221959,34.1909452225679,,,,,
N/A,,Cashel,North Dakota,Canada,R0C 2R0,,60.3886200950069,-97.2915063215056,,,,,
0,Happy Creek Trl,Manokotak,AK,United States,99555-0196,Dillingham,59.5467386914103,-159.011537347253,,,,,
N/A,,Linkletter,Prince Edward Island,Canada,C1N 4H9,,52.2022065374116,-63.8248734560706,,,,,
4804,W Lake Rd,Brutus,NY,United States,13021-9614,Cayuga,42.8623271476509,-76.5229656858603,Owasco Lake,,,,
N/A,,Morley,Ontario,Canada,N0H 1E0,,45.2472653056717,-80.743894427573,Georgian Bay,,,,
N/A,,Saint-David-de-Falardeau,Quebec,Canada,G7G 4N4,,52.8751229320346,-71.1210852272644,,,,,
0,Pulayaraq Rd,Nunapitchuk,AK,United States,99641-0078,Bethel,61.0382817235865,-162.489867508764,,,,,
N/A,,Hokanniemi,Eastern Finland,Finland,46960,,61.803922818256,26.7024720437629,,,,,
3552,River Rd,Sneads,FL,United States,32460-3631,Seminole,30.8209209811392,-84.9342731454491,Lake Seminole,,,,
N/A,,Numby,New South Wales,Australia,2586,,-33.9466932730699,149.013924977265,Wyangala Reservoir,,,,
N/A,,Buffalo Narrows,Saskatchewan,Canada,S0M 0J0,,64.175908954683,-108.482367474239,Aylmer Lake,,,,
N/A,,Town of Silverthorne,Colorado,Canada,S0J 2Y0,,55.7275113239405,-106.083076197818,,,,,
N/A,,Flora,North Dakota,Canada,R0B 2C0,,60.2290747381016,-99.4266055513387,Nueltin Lake,,,,
N/A,,Beaver Lake,Ontario,Canada,N0M 2E0,,47.0745306248415,-81.4937416645846,,,,,
N/A,,Gamīchī,East Azarbaijan,Iran,,,37.6977085371257,45.5119354853278,Lake Urmia,,,,
2709,Hard Scrabble Rd,Groton,NY,United States,13152-8977,Cayuga,42.8645348786044,-76.358464108602,Skaneateles Lake,,,,
N/A,,Sliammon,British Columbia,Canada,V0L 1V0,,66.9352782824152,-124.588129173631,,,,,
N/A,,Pambrun,Saskatchewan,Canada,S0L 0T0,,63.9386514682148,-107.45174515596,Clinton-Colden Lake,,,,
N/A,,Santarém-Mirim,Para,Brazil,79730-000,,-2.25368516131158,-54.2384697418038,Lago Grande,,,,
N/A,,Gallin,Brandenburg,Germany,14542,,52.3967812254457,12.9405446072861,,,,,
N/A,,Hallboro,Manitoba,Canada,R0J 0J0,,64.5877243685402,-99.4507748461261,Aberdeen Lake,,,,
N/A,,Filimonov,West Kazakhstan,Russia,404243,,49.1550962754081,46.6856130830078,,,,,
0,,Kipnuk,AK,United States,99561-0354,Bethel,60.302812951948,-163.930536033261,,,,,
N/A,,Lac-Simon,Quebec,Canada,J0V 1G0,,53.6830052789475,-75.0939191535763,Réservoir de La Grande 3,,,,
N/A,,Ruddell,Saskatchewan,Canada,S0M 2S0,,63.1519633384555,-107.850951593986,,,,,
N/A,,Daxinzhuang,Henan,China,474661,,33.3359680833522,112.555348214138,,,,,
N/A,,Rabbit Lake,Saskatchewan,Canada,S0M 2L0,,55.5675244208444,-107.763612107693,Lac Île-à-la-Crosse,,,,
N/A,,Rapid View,Saskatchewan,Canada,S0M 1N0,,63.5334592472181,-108.824153492725,,,,,
N/A,,Le Petit-Canada,Quebec,Canada,J0Z 3R0,,46.9782735552694,-79.0923852060118,Lake Kipawa,,,,
N/A,,Notre-Dame-de-la-Merci,Quebec,Canada,J0T 2A0,,53.412631828177,-74.0503845912346,,,,,
N/A,,Crestview,Yukon,Canada,Y1A 6S1,,61.1580879233291,-135.163041414671,,,,,
N/A,,Neudorf,Saskatchewan,Canada,S4P 2Z3,,60.6207262092502,-103.020935036998,,,,,
N/A,,Balgonie,Saskatchewan,Canada,S0G 0E0,,60.6679716516549,-104.268880946754,Wholdaia Lake,,,,
N/A,,Kobylkinskiy Kordon,Novosibirsk,Russia,632091,,64.5029474999263,79.0892066027493,Ozero Chaselskoye,,,,
N/A,,Juan Ríos Pescador,Tamaulipas,Mexico,89280,,22.1433608774248,-97.8722049189297,Laguna de Pueblo Viejo,,,,
N/A,,Kozyrevskiy,Kamchatka,Russia,684406,,69.3078531470965,160.066872118509,Ozero Nerpich'ye,,,,
N/A,,Somme,Saskatchewan,Canada,S0A 1G0,,62.0793004591877,-102.970992375056,,,,,
N/A,,Grand-Calumet,Quebec,Canada,K7V 4A1,,52.7904932454843,-76.6895195918065,,,,,
N/A,,North Campbell River,British Columbia,Canada,V9W 5W2,,66.8406402155424,-125.267141669899,,,,,
N/A,,Sprague,Manitoba,Canada,R0E 0J0,,64.9079925388594,-95.6340415112007,Tehek Lake,,,,
N/A,,Kutarey,Krasnoyarsk,Russia,665743,,73.0163996027648,101.00062526283,Ozero Kokora,,,,
N/A,,Hedesunda,Gavleborg,Sweden,818 30,,60.3288641771992,17.0127902831429,,,,,
N/A,,Busongo,Katanga,Congo D.R.,,,-6.07158789020933,29.4617630636473,Lake Tanganyika,,,,
N/A,,Vyshhorod,Kiev,Ukraine,07044,,50.9077402883501,30.4989271734588,Kiev Reservoir,,,,
